simulation,stride,lag,nbins_te,gc_maxlag,dist_thr,ablation,w_krl,w_tsmi,w_te,w_gc,w_spatial,w_knn,w_dtw,auroc,aupr,cliffs_delta,prec_at_k,recall_at_k,f1_at_k,hits_at_k,ndcg_at_k
9,1,4,12,6,inf,tsmi_plus_krl,0.0,1.0,0.0,0.0,0,0,0,0.8956391855807744,0.0910228065046806,0.7912783711615461,0.0,0.0,0.0,0.0,0.0
9,1,4,12,6,inf,tsmi_te_plus_krl,0.0,1.0,0.0,0.0,0,0,0,0.8954489319092123,0.09100582062839477,0.790897863818422,0.0,0.0,0.0,0.0,0.0
9,1,4,12,6,inf,krlflow_only,0.8,0.4,0.5,0.5,0,0,0,0.8806558744993325,0.078467875857194,0.7613117489986624,0.2,0.08571428571428572,0.12000000000000001,6.0,0.2979676820947
9,1,4,12,6,inf,krlflow_spatial,0.8,0.4,0.5,0.5,0,0,0,0.8806558744993325,0.078467875857194,0.7613117489986624,0.2,0.08571428571428572,0.12000000000000001,6.0,0.2979676820947
9,1,4,12,6,inf,krlflow_knn_align,0.8,0.4,0.5,0.5,0,0,0,0.8806558744993325,0.078467875857194,0.7613117489986624,0.2,0.08571428571428572,0.12000000000000001,6.0,0.2979676820947
9,1,4,12,6,inf,krlflow_dtw,0.8,0.4,0.5,0.5,0,0,0,0.8806558744993325,0.078467875857194,0.7613117489986624,0.2,0.08571428571428572,0.12000000000000001,6.0,0.2979676820947
9,1,4,12,6,inf,tsmi_spatial,0.8,0.4,0.5,0.5,0,0,0,0.8806558744993325,0.078467875857194,0.7613117489986624,0.2,0.08571428571428572,0.12000000000000001,6.0,0.2979676820947
9,1,4,12,6,inf,tsmi_knn_align,0.8,0.4,0.5,0.5,0,0,0,0.8806558744993325,0.078467875857194,0.7613117489986624,0.2,0.08571428571428572,0.12000000000000001,6.0,0.2979676820947
9,1,4,12,6,inf,tsmi_dtw,0.8,0.4,0.5,0.5,0,0,0,0.8806558744993325,0.078467875857194,0.7613117489986624,0.2,0.08571428571428572,0.12000000000000001,6.0,0.2979676820947
9,1,4,12,6,inf,te_spatial,0.8,0.4,0.5,0.5,0,0,0,0.8806558744993325,0.078467875857194,0.7613117489986624,0.2,0.08571428571428572,0.12000000000000001,6.0,0.2979676820947
9,1,4,12,6,inf,te_knn_align,0.8,0.4,0.5,0.5,0,0,0,0.8806558744993325,0.078467875857194,0.7613117489986624,0.2,0.08571428571428572,0.12000000000000001,6.0,0.2979676820947
9,1,4,12,6,inf,te_dtw,0.8,0.4,0.5,0.5,0,0,0,0.8806558744993325,0.078467875857194,0.7613117489986624,0.2,0.08571428571428572,0.12000000000000001,6.0,0.2979676820947
9,1,4,12,6,inf,gc_spatial,0.8,0.4,0.5,0.5,0,0,0,0.8806558744993325,0.078467875857194,0.7613117489986624,0.2,0.08571428571428572,0.12000000000000001,6.0,0.2979676820947
9,1,4,12,6,inf,gc_knn_align,0.8,0.4,0.5,0.5,0,0,0,0.8806558744993325,0.078467875857194,0.7613117489986624,0.2,0.08571428571428572,0.12000000000000001,6.0,0.2979676820947
9,1,4,12,6,inf,gc_dtw,0.8,0.4,0.5,0.5,0,0,0,0.8806558744993325,0.078467875857194,0.7613117489986624,0.2,0.08571428571428572,0.12000000000000001,6.0,0.2979676820947
9,1,4,12,6,inf,tsmi_te,0.8,0.4,0.5,0.5,0,0,0,0.8806558744993325,0.078467875857194,0.7613117489986624,0.2,0.08571428571428572,0.12000000000000001,6.0,0.2979676820947
9,1,4,12,6,inf,tsmi_only,1.2,0.4,0.3,0.3,0,0,0,0.8774499332443259,0.0713097642015493,0.754899866488649,0.13333333333333333,0.05714285714285714,0.08,4.0,0.10943013276115503
9,1,4,12,6,inf,gc_plus_krl,1.0,0.2,0.2,0.2,0,0,0,0.7619576101468625,0.0312311697164094,0.5239152202937233,0.03333333333333333,0.014285714285714285,0.02,1.0,0.03888053661056833
9,1,4,12,6,inf,te_plus_krl,1.2,0.4,0.3,0.3,0,0,0,0.7573464619492657,0.031098688937274667,0.5146929238985297,0.03333333333333333,0.014285714285714285,0.02,1.0,0.047008977610572766
9,1,4,12,6,inf,gc_only,1.2,0.4,0.3,0.3,0,0,0,0.5229088785046728,0.016853763399563577,0.04581775700934564,0.03333333333333333,0.014285714285714285,0.02,1.0,0.025255271126569858
9,1,4,12,6,inf,te_only,1.2,0.4,0.3,0.3,0,0,0,0.5,0.016091954022988506,0.0,0.0,0.0,0.0,0.0,0.0
